09/13/2022,13:19,ALARM,500 LAFAYETTE AVE SE
09/13/2022,13:06,DOM,2000 W  WYNDHAM HILL  DR NE
09/13/2022,13:06,WELFARE,1400 KALAMAZOO AVE SE
09/13/2022,12:59,ALARM,2200 EAST BELTLINE AVE NE
09/13/2022,12:59,ALARM,600 DICKINSON ST SE
09/13/2022,12:52,SHOOTPD,600 MADISON AVE SE
09/13/2022,12:43,TRES,900 CESAR E CHAVEZ AVE SW
09/13/2022,12:35,DISO,800 WORDEN ST SE
09/13/2022,12:19,PDEAST, BELTLINE AVE NE / KENT SKILLS CENTER DR NE
09/13/2022,11:58,DOM,1400 COVELL AVE NW
