09/19/2022,22:12,DISOEDNA, ST SE / NELSON AVE SE
09/19/2022,22:06,DISO,100 MONROE CENTER ST NW
09/19/2022,21:40,DOM,800 SHEFFIELD ST SW
09/19/2022,21:26,DISO,800 MARTIN LUTHER KING JR ST SE
09/19/2022,21:19,DISO,300 LYON ST NE
09/19/2022,21:16,DOM,1700 PLYMOUTH AVE SE
09/19/2022,21:00,STOLENV,1800 S DIVISION AVE
09/19/2022,20:58,,911U0 PAGE ST NE
09/19/2022,20:58,SUSPICIOUSHOME, ST SE / VILAS ST SE
09/19/2022,20:45,ORDINANCE,300 LEXINGTON AVE NW
09/19/2022,20:35,DOAUSTOCKING, AVE NW / 4TH ST NW
09/19/2022,20:17,ALARM,2000 BRETON RD SE
09/19/2022,20:13,DISO,0 WESTON ST SE
09/19/2022,20:08,FIGHTBATES, ST SE / NELAND AVE SE
09/19/2022,20:07,SUICIDETH,1500 CORNELL DR SE
09/19/2022,19:54,PD,28TH ST SE / MADISON AVE SE
09/19/2022,19:53,ASSIST,100 CORINNE ST SW
09/19/2022,19:50,STOPEASTERN, AVE SE / CROFTON ST SE
09/19/2022,19:46,PARKING,100 YOUELL AVE SE
09/19/2022,19:12,WELFARE,3200 MORLEY AVE NE
09/19/2022,19:03,WELFARE,0 IONIA AVE SW
09/19/2022,18:58,WELFARE,2200 HORTON AVE SE
09/19/2022,18:55,,911U1300 ALPINE AVE NW
09/19/2022,18:47,SUICIDETH,2500 S DIVISION AVE
09/19/2022,18:46,DOMA,100 SWEET ST NE
09/19/2022,18:39,WELFARE,1300 EMERALD AVE NE
09/19/2022,18:33,DISO,100 MONROE CENTER ST NW
09/19/2022,18:26,,911U300 BURTON ST SE
09/19/2022,18:16,DOM,0 ZENO ST SW
09/19/2022,18:12,STOPWILLIAMS, ST SW / COMMERCE AVE SW
09/19/2022,17:57,ASSISTMICHIGAN, ST NE / LEFFINGWELL AVE NE
09/19/2022,17:53,ASSIST,1100 CASS AVE SE
09/19/2022,17:53,DOM,3000 KNAPP ST NE
09/19/2022,17:39,DISO,1900 EASTERN AVE SE
09/19/2022,17:17,WELFARE,4100 KALAMAZOO AVE SE
09/19/2022,17:10,MISSING,300 ELEANOR ST NE
09/19/2022,17:06,PDBLYON, ST NE / LAFAYETTE AVE NE
09/19/2022,16:58,ASSISTBALL, AVE NE / SWEET ST NE
09/19/2022,16:53,SUSPICIOUS,600 COLLEGE AVE SE
09/19/2022,16:51,SUSPICIOUS,2500 GODWIN AVE SE
09/19/2022,16:24,DOMALGER, ST SE / BROOKLYN AVE SE
09/19/2022,16:17,PEACE,600 NELAND AVE SE
09/19/2022,16:17,TRES,400 IONIA AVE SW
09/19/2022,16:12,PEACE,400 CARRIER ST NE
09/19/2022,16:11,THREAT,300 STATE ST SE
09/19/2022,16:07,DOM,2100 JEFFERSON DR SE
09/19/2022,16:07,DOMA,600 LEONARD ST NW
09/19/2022,15:59,ASSIST,700 MICHIGAN ST NE
09/19/2022,15:59,BURGC,1500 COLLEGE AVE SE
09/19/2022,15:47,THREAT,1000 MICHIGAN ST NE
09/19/2022,15:45,DISO,1400 ALPINE AVE NW
09/19/2022,15:42,PDBMADISON, AVE SE / ROSEMARY ST SE
09/19/2022,15:33,WARRANTA,800 PORT ST
09/19/2022,15:28,INJV,1000 DICKINSON ST SE
09/19/2022,15:28,STOP,36TH ST SE / FULLER AVE SE(WO)
09/19/2022,15:23,TRES,1100 MONROE AVE NW
09/19/2022,15:21,,911U900 10TH ST NW
